P1,P2,OBC,Comms
0.063,0.0,0.373,0.0
0.0,0.032,0.345,0.0
0.007,0.02,0.433,0.0
0.038,0.035,0.275,0.0
0.02,0.0,0.385,0.0
0.07,0.018,0.345,0.0
0.0,0.055,0.343,0.0
0.0,0.045,0.382,0.0
0.0,0.185,0.373,0.0
0.0,0.108,0.278,0.0
0.0,0.025,0.32,0.0
0.013,0.052,0.385,0.0
0.0,0.03,0.382,0.0
0.007,0.097,0.317,0.0
0.0,0.06,0.305,0.02
0.087,0.162,0.42,0.0
0.0,0.045,0.37,0.0
0.02,0.112,0.317,0.0
0.045,0.072,0.327,0.05
0.132,0.032,0.463,0.0
0.045,0.032,0.447,0.0
0.0,0.065,0.477,0.0
0.0,0.01,0.347,0.0
0.032,0.002,0.398,0.01
0.0,0.085,0.412,0.0
0.0,0.052,0.407,0.005
0.005,0.0,0.455,0.0
0.018,0.025,0.39,0.0
0.0,0.04,0.382,0.0
0.043,0.08,0.393,0.0
0.0,0.013,0.325,0.0
0.0,0.013,0.433,0.0
0.0,0.03,0.375,0.0
0.06,0.0,0.28,0.063
0.032,0.025,0.35,0.0
0.0,0.02,0.44,0.0
0.0,0.0,0.545,0.038
0.047,0.0,0.395,0.0
0.032,0.16,0.545,0.0
0.005,0.025,0.37,0.0
0.117,0.035,0.385,0.0
0.0,0.038,0.393,0.0
0.0,0.15,0.393,0.015
0.032,0.013,0.35,0.0
0.078,0.058,0.373,0.0
0.093,0.0,0.447,0.0
0.0,0.093,0.385,0.072
0.04,0.015,0.465,0.0
0.0,0.087,0.445,0.002
0.0,0.032,0.373,0.0
0.0,0.145,0.322,0.023
0.0,0.05,0.393,0.0
0.018,0.047,0.273,0.0
0.0,0.0,0.452,0.01
0.168,0.05,0.075,0.03
0.0,0.047,0.385,0.0
0.0,0.06,0.377,0.018
0.015,0.0,0.45,0.0
0.102,0.123,0.42,0.018
0.0,0.018,0.4,0.0
0.0,0.03,0.627,0.01
0.0,0.0,0.387,0.0
0.015,0.027,0.203,0.0
0.0,0.045,0.368,0.0
0.0,0.047,0.375,0.0
0.018,0.08,0.425,0.0
0.0,0.023,0.357,0.0
0.02,0.043,0.343,0.0
0.0,0.025,0.33,0.0
0.0,0.025,0.36,0.0
0.0,0.038,0.373,0.0
0.007,0.068,0.313,0.043
0.02,0.01,0.37,0.0
0.0,0.007,0.365,0.01
0.0,0.052,0.382,0.0
0.023,0.0,0.468,0.0
0.055,0.07,0.425,0.01
0.0,0.097,0.472,0.0
0.0,0.005,0.39,0.0
0.002,0.198,0.423,0.0
0.018,0.15,0.44,0.0
0.052,0.0,0.26,0.0
0.025,0.002,0.363,0.0
0.04,0.07,0.465,0.0
0.0,0.03,0.373,0.0
0.0,0.085,0.335,0.007
0.0,0.0,0.34,0.0
0.0,0.043,0.368,0.0
0.0,0.0,0.482,0.0
0.0,0.038,0.365,0.0
0.083,0.078,0.3,0.0
0.0,0.072,0.308,0.0
0.0,0.108,0.39,0.0
0.087,0.065,0.325,0.0
0.007,0.063,0.3,0.043
0.17,0.0,0.417,0.03
0.0,0.038,0.493,0.0
0.0,0.035,0.553,0.0
0.0,0.018,0.37,0.0
0.11,0.0,0.538,0.0
0.0,0.078,0.355,0.0
0.005,0.153,0.527,0.0
0.07,0.01,0.34,0.0
0.0,0.043,0.385,0.0
0.0,0.038,0.37,0.0
0.0,0.0,0.33,0.0
0.02,0.06,0.33,0.04
0.0,0.025,0.373,0.0
0.0,0.03,0.355,0.0
0.0,0.03,0.363,0.0
0.0,0.083,0.527,0.0
0.0,0.025,0.292,0.013
0.0,0.002,0.298,0.0
0.0,0.035,0.357,0.0
0.0,0.023,0.41,0.0
0.027,0.078,0.345,0.0
